"","Year","OSPR","BAEAA","NOHA","RSHA","PEFA"
"48",1984,0.637850477706296,0.01956745623069,0.334824187141386,0.215805992839978,0.00926879505664264
"49",1985,0.527409349619492,0.0255164034021871,0.461806399351964,0.246658566221142,0.0145808019441069
"50",1986,1.024410430839,0.028968253968254,0.386655328798186,0.210714285714286,0.0345238095238095
"51",1987,0.730163834022355,0.0260807431225438,0.392952028321803,0.37675793302803,0.0342979635584137
"52",1988,0.647417840375587,0.0223340040241449,0.30962441314554,0.367203219315895,0.0150905432595573
"53",1989,0.841972255499235,0.0308499475341028,0.430420226852546,0.274306700644581,0.0535152151101784
"54",1990,0.913200092958401,0.0261832829808661,0.335830366343962,0.331458739313724,0.0503524672708963
"55",1991,0.631242891962947,0.0367092756473287,0.196352909627246,0.162569649295313,0.0434611602753196
"56",1992,0.564868861767581,0.0352822580645161,0.165468309757921,0.244959677419355,0.0438152277039848
"57",1993,0.73608339964649,0.0422456920511395,0.358669576780128,0.241731517509728,0.0496108949416342
"58",1994,0.440814862126338,0.039344262295082,0.285433072663444,0.237097753491196,0.0218579234972678
"59",1995,0.484879677284741,0.0522557611165206,0.273700982561742,0.390847127555988,0.0311587147030185
"60",1996,0.581288859015292,0.039279112754159,0.119606548719303,0.287430683918669,0.0379768106200639
"61",1997,0.650852166479671,0.0536308983175468,0.198858944122608,0.276195194451325,0.0554041780199818
"62",1998,0.558832932771812,0.0577249575551783,0.270446644470414,0.312393887945671,0.0479626485568761
"63",1999,0.635017676824301,0.0707581227436823,0.34328301061153,0.302346570397112,0.0468802007322631
"64",2000,0.506381715642624,0.0483823092905907,0.124589746851546,0.173642030276046,0.042842636421865
"65",2001,0.594704455395245,0.0581483268983269,0.272850975975976,0.232263513513514,0.0306869369369369
"66",2002,0.687505013560911,0.151112120393784,0.169831586183193,0.226843100189036,0.0587679306126988
"67",2003,0.747939526413798,0.138317757009346,0.403111950686021,0.21829808165273,0.107000849617672
"68",2004,0.665485748268978,0.0805063506223185,0.171602735652691,0.188819506393101,0.0394290811775201
"69",2005,0.439814814814815,0.0763888888888889,0.180320692039442,0.298611111111111,0.0478219696969697
"70",2006,0.611255032183228,0.0726795096322242,0.245596697523142,0.229090736971648,0.0561045784338254
"71",2007,0.686005314437555,0.0932979037496309,0.279303218187186,0.197519929140833,0.0339533510481252
"72",2008,0.476855123674912,0.1110550227158,0.134275618374558,0.121908127208481,0.0715547703180212
"73",2009,0.445539686536916,0.0982280262058655,0.137119113573407,0.13419513696522,0.0658104591622597
"74",2010,0.591695702671312,0.191019955654102,0.164137140443761,0.14808362369338,0.0609756097560976
