"","Year","BLVU","TUVU","OSPR","BAEAU","BAEAI","BAEAA","NOHA","SSHA","COHA","NOGO","RSHA","BWHA","RTHA","RLHA","SWHA","GOEAU","GOEAI","GOEAA","AMKE","MERL","PEFA","GYRF","TOTRAP"
"11",1947,0,0.378048780487805,0.416748935346496,0.0013550135501355,0.0370741385985288,0.116952187379017,0.293142663569493,2.50929636082075,0.207041231126597,0.00788811459543167,0.393510452961672,9.37964092140921,2.80093883081688,0,0,0.0013550135501355,0.0141744096012389,0.0382742934572203,0.183531746031746,0.013550135501355,0.0285714285714286,0,16.9055410375532
"12",1948,0,0.451807228915663,0.270032510996366,0.00267737617135208,0.0234270414993307,0.0852935551730732,0.322011856951616,2.37913080895009,0.286111111111111,0.034471218206158,0.427878179384203,20.2717536813922,4.53992159112641,0.0179718875502008,0,0.00150602409638554,0.00803212851405623,0.0711512717536814,0.206444826926755,0.0254350736278447,0.0507506215337541,0,29.6111828265443
"13",1949,0,0.497474747474747,0.340940656565657,0,0.0434659090909091,0.111458333333333,0.308549783549784,4.16346500721501,0.248642676767677,0.0183712121212121,0.426627886002886,12.3461174242424,3.8625496031746,0.0236742424242424,0,0,0.0327155483405483,0.061300505050505,0.463352272727273,0.0303030303030303,0.0559163059163059,0,23.12141504329
"14",1950,0,0.123306233062331,0.504573170731707,0,0.0304878048780488,0.14800135501355,0.333333333333333,5.07879403794038,0.384789972899729,0.00836720867208672,0.495189701897019,7.32232384823848,4.08773712737127,0.00257452574525745,0,0,0.0251016260162602,0.0684281842818428,0.326219512195122,0.059789972899729,0.0453929539295393,0,19.2149390243902
"15",1951,0,0.076951951951952,0.400713213213213,0,0.0319069069069069,0.137575075075075,0.361261261261261,4.90536786786787,0.375938438438438,0.0397522522522523,0.654992492492492,16.7310435435435,4.27353603603604,0,0,0,0.0140765765765766,0.0980480480480481,0.389827327327327,0.0225225225225225,0.039039039039039,0,28.6537162162162
"16",1952,0,0.0448848238482385,0.482554200542005,0,0.0242208672086721,0.113143631436314,0.489532520325203,5.24962737127371,0.455352303523035,0.0103319783197832,0.598712737127371,17.1172086720867,5.02018970189702,0.0167682926829268,0,0,0.0296409214092141,0.112127371273713,0.299932249322493,0.0661924119241192,0.0508807588075881,0,30.2969173441734
"17",1953,0,0.286204744069913,0.416069199215267,0,0.0245006242197253,0.088808632067059,0.349794899233101,3.60065097199929,0.199741394685215,0.00421348314606742,0.25252808988764,9.04478330658106,3.20586766541823,0.00280898876404494,0,0,0.0142009987515605,0.0362359550561798,0.294925985375424,0.0142455858747994,0.0279650436953808,0,18.0212056358124
"18",1954,0,0.00148809523809524,0.442677626606198,0.00476190476190476,0.0169123204837491,0.119520030234316,0.238392857142857,4.27591647770219,0.27146164021164,0.156183862433862,0.429298941798942,8.24803004535147,3.10854119425548,0.0042989417989418,0,0,0.0197231670445956,0.0367063492063492,0.252130574452003,0.0291005291005291,0.0382275132275132,0,17.8157596371882
"19",1955,0,0.104725415070243,0.520051085568327,0.0041507024265645,0.0345466155810983,0.134701696770662,0.316776135741653,6.62771392081737,0.387260536398467,0.063925378580551,0.578379857690203,12.4303959131545,5.76372012406495,0,0,0.0014367816091954,0.0130906768837803,0.0737319832147418,0.417177522349936,0.0303320561941252,0.0531609195402299,0,27.7670270023718
"20",1956,0,0.00333333333333333,0.458687830687831,0.00148148148148148,0.0243703703703704,0.0724391534391534,0.222031746031746,3.14075661375661,0.18962962962963,0.0131481481481481,0.436481481481481,14.5185396825397,2.55245502645503,0.0162962962962963,0,0,0.0318518518518519,0.047010582010582,0.32010582010582,0.0177777777777778,0.0248677248677249,0,22.1618201058201
