Country,OneSymbol,Life expectancy,logPop Density,logGDP,Cholesterol,TB,Maternal mortality,Babies per woman,Birth rate
Chad,1,48.8,2.1401,5.6533,3.91,497,1065.2,6.16,45.8
Chile,1,78.6,3.1005,8.7131,4.97,12,21.1,1.93,15
China,1,73.1,4.937,7.502,4.5,194,40.1,1.77,13.5
Colombia,1,73,3.6769,7.9913,4.77,43,46.3,2.43,20.6
Comoros,1,65.4,5.8722,5.9265,4.18,83,225.3,3.95,32.7
Congo Dem. Rep.,1,47.7,3.3107,4.5386,3.78,666,533.6,6.03,45.1
Congo Rep.,1,53.6,2.3581,7.0531,4.3,485,616.8,4.37,34.7
Costa Rica,1,78.9,4.4823,8.5416,4.66,11,25.3,1.96,16.6
Cote d'Ivoire,1,57.3,4.1566,6.2731,4.04,582,944.1,4.6,35.1
Croatia,1,76.3,4.3596,8.8004,4.97,54,14.1,1.42,9.6
Cyprus,1,79.7,4.535,9.6257,5.23,6,40.7,1.52,11.5
Czech Rep.,1,77.3,4.874,8.9194,5.11,9,6.9,1.42,10.6
Denmark,1,78.4,4.8415,10.3973,5.52,6,9.4,1.89,11.5
Djibouti,1,55.4,3.6002,6.7217,4.64,1104,461.6,3.9,28.7
Dominican Rep.,1,72.5,5.3238,8.1579,4.38,82,66.3,2.65,22.7
Ecuador,1,75.1,3.8616,7.4125,4.67,140,77.1,2.56,21
Egypt,1,70.1,4.3995,7.4366,4.56,27,43.1,2.86,24.8
El Salvador,1,71.5,5.6751,7.8716,4.47,48,37.1,2.32,20.4
Equatorial Guinea,1,50.3,3.157,8.9893,4.68,469,301.8,5.34,38
Eritrea,1,59.6,3.7352,5.0177,4.11,134,751.2,4.63,37.3
Estonia,1,73.2,3.3926,8.8962,5.16,39,22.5,1.65,11.8
Ethiopia,1,55.2,4.2917,5.1648,4.11,579,589.7,5.32,38.6
Fiji,1,68.9,3.8327,7.6919,5.16,30,85.4,2.73,21.1
Finland,1,79.7,2.7528,10.2576,5.18,5,7.2,1.85,11.1
France,1,81.3,4.7228,10.0705,5.36,11,10,1.89,12.2
Gabon,1,60.5,1.6882,8.3305,4.72,379,493.5,3.31,27.5
Gambia,1,55.9,4.9903,5.8951,4,404,281.3,5.05,37
Georgia,1,71.7,4.1238,7.1139,4.6,83,37,1.58,12.1
Germany,1,80.1,5.4399,10.1308,5.56,5,7,1.33,8.1
Ghana,1,56.6,4.5839,5.746,3.88,353,409.2,4.28,32.5
Greece,1,79.3,4.4356,9.6146,4.99,16,8.4,1.37,9.7
Grenada,1,75.5,5.7071,8.4597,4.45,6,46.7,2.28,19.4
Guatemala,1,70.3,4.8338,7.5379,4.22,87,88.3,4.11,33.3
Guinea,1,57.8,3.6888,5.9927,3.92,448,859.9,5.41,39.9
Guinea-Bissau,1,47.8,3.7753,4.9509,3.87,276,804.3,5.71,41.4
Guyana,1,67,1.2672,6.9756,4.1,136,143.1,2.32,18
Haiti,1,61.3,5.8747,5.9616,4.07,366,582.5,3.5,27.9
Honduras,1,72.2,4.1789,7.2515,4.31,71,105.3,3.26,27.7
Hungary,1,73.5,4.6786,8.7291,5.13,19,7.1,1.36,9.9
Iceland,1,81.8,1.1194,10.5439,5.68,3,7.1,2.09,14.7
India,1,63.7,5.8844,6.5302,4.34,283,253.8,2.74,23
Indonesia,1,70.8,4.7822,6.9446,4.52,244,228.6,2.17,18.8
Iran,1,71.4,3.795,7.6674,4.99,27,27.8,1.81,18.9
Ireland,1,79.9,4.1453,10.3911,5.43,11,5.7,1.96,15.6
Israel,1,80.8,5.7634,9.9714,5.04,6,5.9,2.79,20
Italy,1,81.2,5.2873,9.9043,5.32,6,3.9,1.38,9.3
Jamaica,1,71.9,5.5068,8.2588,4.42,7,34.4,2.39,19.5
