food,water,kcal,protein,lipid,carb,fiber,ca,fe,mg,p,k,na,zn,cu,vit.c,thiamin,riboflavin,niacin,vit.b6,folate,vit.a,weight
LEEKS,83,61,1.5,0.3,14.15,1.8,59,2.1,28,35,180,20,0.12,0.12,12,0.06,0.03,0.4,0.233,64,1667,89
LOTUS ROOT,79.1,74,2.6,0.1,17.23,4.9,45,1.16,23,100,556,40,0.39,0.257,44,0.16,0.22,0.4,0.258,13,0,81
MAITAKE MUSHROOMS,90.37,31,1.94,0.19,6.97,2.7,1,0.3,10,74,204,1,0.75,0.252,0,0.146,0.242,6.585,0.056,21,0,70
MOUNTAIN YAM,81.44,67,1.34,0.1,16.3,2.5,26,0.44,12,34,418,13,0.27,0.11,2.6,0.102,0.019,0.481,0.179,14,0,68
MUNG BEAN SPROUTS,90.4,30,3.04,0.18,5.94,1.8,13,0.91,21,54,149,6,0.41,0.164,13.2,0.084,0.124,0.749,0.088,61,21,104
MUSTARD GREENS,90.7,27,2.86,0.42,4.67,3.2,115,1.64,32,58,384,20,0.25,0.165,70,0.08,0.11,0.8,0.18,12,3024,56
MUSTARD SPINACH,92.2,22,2.2,0.3,3.9,2.8,210,1.5,11,28,449,21,0.17,0.075,130,0.068,0.093,0.678,0.153,159,9900,150
NEW ZEALAND SPINACH,94,14,1.5,0.2,2.5,1.5,58,0.8,39,28,130,130,0.38,0.093,30,0.04,0.13,0.5,0.304,15,4400,56
NOPALES,94.12,16,1.32,0.09,3.33,2.2,164,0.59,52,16,257,21,0.25,0.052,9.3,0.012,0.041,0.41,0.07,3,457,86
OKRA,89.58,33,1.93,0.19,7.45,3.2,82,0.62,57,61,299,7,0.58,0.109,23,0.2,0.06,1,0.215,60,716,100
ONIONS,89.11,40,1.1,0.1,9.34,1.7,23,0.21,10,29,146,4,0.17,0.039,7.4,0.046,0.027,0.116,0.12,19,2,160
OYSTER MUSHROOMS,89.18,33,3.31,0.41,6.09,2.3,3,1.33,18,120,420,18,0.77,0.244,0,0.125,0.349,4.956,0.11,38,48,148
PARSNIPS,79.53,75,1.2,0.3,17.99,4.9,36,0.59,29,71,375,10,0.59,0.12,17,0.09,0.05,0.7,0.09,67,0,133
PEA PODS,88.89,42,2.8,0.2,7.55,2.6,43,2.08,24,53,200,4,0.27,0.079,60,0.15,0.08,0.6,0.16,42,1087,98
PEAS,78.86,81,5.42,0.4,14.45,5.7,25,1.47,33,108,244,5,1.24,0.176,40,0.266,0.132,2.09,0.169,65,765,145
POKEBERRY SHOOTS,91.6,23,2.6,0.4,3.7,1.7,53,1.7,18,44,242,23,0.24,0.157,136,0.08,0.33,1.2,0.146,16,8700,160
PORTOBELLA MUSHROOMS,92.82,22,2.11,0.35,3.87,1.3,3,0.31,10,108,364,9,0.53,0.286,0,0.059,0.13,4.494,0.148,28,0,86
