Year 12. site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
,,,,,,,,,,,
Point 9,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Ficus semicordata,50,0,0,0,0,0,0,50.00,198.94,Meliosma sp1,Viburnum sp1
Terminalia myriocarpa,50,0,0,0,0,0,0,50.00,198.94,Meliosma sp1,Viburnum sp1
Eurya acuminata ,20,22,21,0,0,0,0,36.40,105.44,Meliosma sp1,
Persea sp1,18,0,0,0,0,0,0,18.00,25.78,species3,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,species3,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,species3,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Litsea monopetala,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Viburnum sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Ixonanthes khasiana,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Ixonanthes khasiana,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
,,,,,,,,,,,
Point 10,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Terminalia myriocarpa,45,0,0,0,0,0,0,45.00,161.14,Meliosma sp1,Persea sp1
Persea sp1,37,0,0,0,0,0,0,37.00,108.94,Maesa sp1,Persea sp1
Engelhardia sp1,26,0,0,0,0,0,0,26.00,53.79,Maesa sp1,Casearia varica
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,Casearia varica
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,Maesa sp1
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,Viburnum sp1,Viburnum sp1
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,species3,species3
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Alchornea sp1,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,30,0,0,0,0,0,0,30.00,71.62,,
Eurya acuminata,30,0,0,0,0,0,0,30.00,71.62,,
Eurya acuminata,30,0,0,0,0,0,0,30.00,71.62,,
Eurya acuminata,30,0,0,0,0,0,0,30.00,71.62,,
Eurya acuminata,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
Saurauia nepalensis,23,0,0,0,0,0,0,23.00,42.1,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,28,0,0,0,0,0,0,,,,
,,,,,,,,,,,
Point 11,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
species2,48,4.86,0.49,0.05,0.01,0,0,48.25,185.25,Lauraceae sp1,Persea sp1
Eurya acuminata,14,1.42,0.14,0.01,0,0,0,14.07,15.76,Lauraceae sp1,Maesa sp1
Saurauia nepalensis ,25,2.53,0.26,0.03,0,0,0,25.13,50.25,Lauraceae sp1,Litsea monopetala
Macaranga denticulata,70,7.09,0.72,0.07,0.01,0,0,70.36,393.97,Lauraceae sp1,Ixonanthes khasiana
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,Lauraceae sp1,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,Viburnum sp1,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,Viburnum sp1,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,Maesa sp1,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,Meliosma sp1,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,,
Saurauia nepalensis,25,2.53,0.26,0.03,0,0,0,25.13,50.25,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,20,2.03,0.21,0.02,0,0,0,20.10,32.16,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
