Year 2. site 1,,,,
Point 1,,,,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Wendlandia paniculata,
,,,,
Point 4,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Wendlandia paniculata
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Betula alnoides,
,,,,
Point 5,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Wendlandia paniculata
,,,Maesa sp1,Ficus semicordata
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,,
Point 6,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Wendlandia paniculata
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,,
Point 7,,,,
Trees,gbh,basal.area,Saplings,Seedlings
Michelia sp1,12,11.46,Maesa sp1,Litsea monopetala
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Persea sp1,
,,,Persea sp1,
,,,Persea sp1,
,,,Persea sp1,
,,,Persea sp1,
,,,,
Point 8,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,Trema orientalis
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Trema orientalis,
,,,,
Point 9,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,,
Point 10,,,,
Trees,gbh,basal.area,Saplings,Seedlings
Michelia sp1,12,11.46,Maesa sp1,Eurya acuminata
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,,
Point 11,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Terminalia myriocarpa,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp1
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,Litsea monopetala
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Saurauia nepalensis,
,,,Maesa sp2,
,,,Maesa sp2,
,,,Maesa sp2,
,,,,
Point 12,,,,
Trees,gbh,basal.area,Saplings,Seedlings
Michelia sp1,12,11.46,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Ixonanthes khasiana,
