Uncut forest. Site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Engelhardia sp1,110,0,0,0,0,0,0,110,962.89,Oxyspora sp1,
Castanopsis tribuloides,27,0,0,0,0,0,0,27,58.01,Oxyspora sp1,
Altingia excelsa,85,0,0,0,0,0,0,85,574.95,Oxyspora sp1,
Altingia excelsa,115,0,0,0,0,0,0,115,1052.41,,
Wendlandia paniculata,30,0,0,0,0,0,0,30,71.62,,
Castanopsis sp1,34,0,0,0,0,0,0,34,91.99,,
Castanopsis sp1,32,0,0,0,0,0,0,32,81.49,,
,,,,,,,,,,,
Point 3,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Altingia excelsa,165,0,0,0,0,0,0,165,2166.49,Oxyspora sp1,Persea sp1
Linociera macrophylla,70,0,0,0,0,0,0,70,389.93,Oxyspora sp1,Ixonanthes khasiana
Castanopsis sp1,72,0,0,0,0,0,0,72,412.53,Oxyspora sp1,
species1,65,45,0,0,0,0,0,79.0569415042,497.36,,
Ixonanthes khasiana,63,0,0,0,0,0,0,63,315.84,,
Castanopsis kurzii,62,0,0,0,0,0,0,62,305.9,,
Ixonanthes khasiana,115,0,0,0,0,0,0,115,1052.41,,
Castanopsis kurzii,53,0,0,0,0,0,0,53,223.53,,
Castanopsis kurzii,50,0,0,0,0,0,0,50,198.94,,
Ixonanthes khasiana,105,0,0,0,0,0,0,105,877.34,,
Castanopsis tribuloides,33,0,0,0,0,0,0,33,86.66,,
Castanopsis tribuloides,30,0,0,0,0,0,0,30,71.62,,
Wendlandia paniculata,45,0,0,0,0,0,0,45,161.14,,
Chisocheton paniculatus,30,0,0,0,0,0,0,30,71.62,,
Linociera macrophylla,33,0,0,0,0,0,0,33,86.66,,
Clerodendrum griffithianum,13,0,0,0,0,0,0,13,13.45,,
Castanopsis tribuloides,43,0,0,0,0,0,0,43,147.14,,
Ixonanthes khasiana,17,0,0,0,0,0,0,17,23,,
,,,,,,,,,,,
Point 4,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis kurzii,65,0,0,0,0,0,0,65,336.21,Cinnamomum tamala,Ixonanthes khasiana
