"","Name","D_lmass","D_wing","D_tarsus","D_bill","D_tail"
"578","White-throated Grasswren",0.105661675124038,2.90000000000001,1.1,1.1,7.40000000000001
"579","Carpentarian Grasswren",0.0903840614682689,0.700000000000003,0.300000000000001,0.699999999999999,6.8
"580","Striated Grasswren",0.0861291537299387,2.6,1.2,-0.0999999999999996,3
"581","Eyrean Grasswren",0.0359320092260633,1.8,1,0.800000000000001,5.40000000000001
"582","Dusky Grasswren",0.0953101798043252,1.9,0.699999999999999,0.199999999999999,2.39999999999999
"583","Banded Honeyeater",0.0497615095590636,4.09999999999999,0.200000000000001,0.800000000000001,2.90000000000001
"584","Black Honeyeater",0.0202027073175195,3.9,0.6,0.599999999999998,3.9
"585","Pied Honeyeater",0.0913181585347873,3.40000000000001,0.300000000000001,0.300000000000001,0.200000000000003
"586","Green-backed Honeyeater",0.0851578083403068,4,0.700000000000003,0.430000000000001,1.1
"587","Brown Honeyeater",0.191538211898878,5.3,1.1,1,4.4
"588","White-streaked Honeyeater",0.285711628464482,10.8,1.6,3.4,8.8
"589","Graceful Honeyeater",0.0685199464367563,5.7,0,0.799999999999997,6.8
"590","Yellow-spotted Honeyeater",0.139390264244137,7.2,1,1.7,2.10000000000001
"591","Lewin's Honeyeater",0.170451981238571,8.09999999999999,1.2,1.8,5.3
"592","Yellow-faced Honeyeater",0.0584962066816086,4.89999999999999,0.199999999999999,0.600000000000001,3.90000000000001
"593","Varied Honeyeater",0.0791041810912723,5.59999999999999,2,1,4.5
"594","Mangrove Honeyeater",0.123060092757227,5,0,0.200000000000003,1.89999999999999
"595","Singing Honeyeater",0.124454174473406,6.5,1,0.899999999999999,4.5
"596","White-gaped Honeyeater",0.107420248620837,7.59999999999999,0.899999999999999,1.4,7.8
"597","White-eared Honeyeater",0.275039679036604,10.8,0.899999999999999,1.6,10.8
"598","Yellow-throated Honeyeater",0.181717509659913,5.39999999999999,0.900000000000002,1.1,6.2
"599","Yellow-tufted Honeyeater",0.108297375331136,5,0.799999999999997,0.899999999999999,4.7
"600","Yellow-plumed Honeyeater",0.0850370426859124,3.8,0.200000000000003,0.700000000000001,3.40000000000001
"601","Tawny-breasted Honeyeater",0.185403223331363,4.90000000000001,1.5,1.5,2.59999999999999
"602","Macleay Honeyeater",0.167328772207814,3.7,1.1,1.3,2.89999999999999
"603","White-naped Honeyeater",0.0438026226583927,4.3,0.699999999999999,1,4.1
"604","Black-headed Honeyeater",0.0389659685333834,2.60000000000001,0.0999999999999979,0.5,2.1
"605","White-throated Honeyeater",0.0996298409488414,5.60000000000001,0.6,1.5,4.09999999999999
"606","Black-chinned Honeyeater",-0.037740327982847,0.599999999999994,-0.399999999999999,0.599999999999998,0.200000000000003
"607","Strong-billed Honeyeater",0.124910649580616,4.19999999999999,1,1.5,2.69999999999999
"608","Brown-headed Honeyeater",-0.0620353909194526,1.69999999999999,-0.599999999999998,0.199999999999999,-0.600000000000001
"609","Stitchbird",0.282719283109652,9.8,0.199999999999999,1.1,9.7
"610","Little Friarbird",0.0660305815230853,3.90000000000001,1.4,0.899999999999999,3.59999999999999
"611","Helmeted Friarbird",0.109541399732274,7.09999999999999,2.2,2.9,3
"612","Silver-crowned Friarbird",0.121889817609037,6.70000000000002,0.100000000000001,1.7,6.3
"613","Noisy Friarbird",0.10033222096529,6,1.3,1.6,2.3
